"","Sample_Name","Al","Si","P","S","K","Ca","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Ta","Hg","Pb","Th","U","LE","BD","Skeleton","pH","SOC"
"1","B1-11",3.3145,17.46,0.3845,NA,2.8404,0.8775,0.2418,0.0317,NA,0.0515,2.0139,0.0016,NA,0.0063,5e-04,0.0143,0.0303,0.0016,0.0154,0.0012,9e-04,NA,0.0054,NA,0.0036,0.0026,6e-04,72.7,1.713,18.539,7.86,0.533
"2","B1-20",3.3664,17.38,0.3773,NA,2.8371,0.6716,0.23,0.0319,NA,0.0471,2.0824,0.0013,NA,0.0058,6e-04,0.0148,0.0303,0.0016,0.0159,0.0011,8e-04,NA,0.005,NA,0.0027,0.0025,NA,72.89,2.131,16.277,7.79,0.471
"3","B1-31",3.3691,17.99,0.3944,NA,2.7959,0.7086,0.2401,0.0303,NA,0.0425,2.0178,0.0016,NA,0.0058,5e-04,0.0141,0.0302,0.0018,0.0167,0.0011,9e-04,NA,0.0057,NA,0.0029,0.0025,NA,72.32,2.002,11.585,8.05,0.292
"4","B1-A",2.9728,20.05,0.3716,NA,3.3428,0.5477,0.1502,0.0199,NA,0.0212,0.9041,NA,NA,0.0016,3e-04,0.017,0.0088,0.0037,0.0201,0.0014,8e-04,NA,0.005,NA,8e-04,0.0036,9e-04,71.55,1.841,13.897,8.44,0.385
"5","B2-15",3.0962,17.71,0.3811,NA,2.753,0.8004,0.2361,0.0301,NA,0.0434,1.7999,0.0013,NA,0.0048,NA,0.0142,0.031,0.0018,0.0126,0.0013,0.001,NA,0.0049,NA,0.0032,0.0026,6e-04,73.07,2.14,17.09,7.02,0.532
"6","B2-18",3.3299,17.06,0.3831,NA,2.9504,0.6102,0.2284,0.0344,NA,0.0415,1.9126,0.0014,NA,0.005,NA,0.015,0.0332,0.0016,0.0133,0.0011,9e-04,NA,0.0061,NA,0.0034,0.0026,NA,73.37,2.022,12.881,6.68,0.436
"7","B2-20",3.3226,17.13,0.3623,NA,2.8845,0.5925,0.1995,0.029,NA,0.0359,1.8176,NA,NA,0.0048,4e-04,0.0146,0.0302,0.0016,0.0107,0.001,7e-04,NA,0.006,NA,0.0024,0.0027,8e-04,73.55,2.228,21.123,6.8,0.262
"8","B3-03",3.1162,17.31,0.393,NA,2.7649,1.3364,0.2303,0.0105,NA,0.0392,2.1594,NA,NA,0.0044,4e-04,0.0224,0.0109,0.0063,0.01,0.0025,6e-04,NA,0.0059,NA,0.003,0.0036,0.0014,72.57,2.229,17.669,6.25,1.689
"9","B3-04",3.3908,17.1,0.3784,NA,3.1114,0.5097,0.2488,0.0304,NA,0.041,1.9773,0.0022,NA,0.0055,4e-04,0.0156,0.0303,0.0016,0.0137,0.0013,0.001,NA,0.0059,NA,0.0034,0.0027,6e-04,73.13,1.924,21.257,6.18,0.553
"10","B3-21",3.3354,17.44,0.3924,NA,2.8916,0.6402,0.2532,0.0325,NA,0.0471,2.0805,0.0017,NA,0.0061,6e-04,0.0149,0.0303,0.0017,0.0145,0.0013,8e-04,NA,0.0055,NA,0.0029,0.0031,NA,72.81,1.93,15.712,6.87,0.52
"11","B3-23",3.3905,17.79,0.4025,NA,2.7823,0.6978,0.2427,0.031,NA,0.051,2.0778,0.0013,NA,0.0064,4e-04,0.0148,0.0304,0.0017,0.0124,0.0012,7e-04,NA,0.0053,NA,0.0032,0.0032,NA,72.45,2.272,14.447,7.49,0.491
"12","B3-29",3.4862,17.2,0.409,NA,2.945,0.8698,0.2794,0.0323,NA,0.0513,2.3367,0.0014,NA,0.0065,6e-04,0.0156,0.0328,0.0019,0.0176,0.0011,7e-04,NA,0.0057,NA,0.0032,0.0025,NA,72.3,1.903,15.059,8.61,0.585
"13","B4-03",3.3965,17.94,0.3891,NA,3.0255,0.5372,0.2463,0.0285,NA,0.0403,1.8732,0.0015,NA,0.0057,4e-04,0.015,0.0303,0.0017,0.0148,0.0011,8e-04,NA,0.0059,NA,0.0029,0.0022,NA,72.44,2.223,19.24,6.38,1.689
"14","B4-07",3.3271,17,0.3782,NA,2.9817,0.4818,0.2211,0.0315,NA,0.0457,2.2496,0.0014,NA,0.0062,7e-04,0.0156,0.0273,0.0016,0.0122,0.0012,9e-04,NA,0.0051,NA,0.0028,0.0026,7e-04,73.21,1.906,29.403,6.2,1.147
"15","B4-19",3.575,17.67,0.4235,NA,3.1273,0.567,0.2557,0.0327,NA,0.043,2.0096,0.0019,NA,0.0064,4e-04,0.0155,0.0321,0.0017,0.0166,0.0011,6e-04,0.0027,0.0054,NA,0.0029,0.0027,6e-04,72.21,2.365,24.06,6.69,0.563
"16","B4-22",3.3125,16.92,0.3966,NA,2.899,0.5944,0.2525,0.0297,NA,0.0461,2.0425,NA,NA,0.0067,5e-04,0.0154,0.0318,0.0018,0.0151,0.0013,8e-04,NA,0.0052,NA,0.0036,0.0021,NA,73.43,1.777,21.74,5.85,1.728
"17","B4-24",3.4279,18.01,0.4102,NA,3.1977,0.4433,0.2386,0.034,NA,0.0405,1.9241,NA,NA,0.0054,5e-04,0.0159,0.0297,0.0017,0.0156,0.0011,4e-04,NA,0.0054,NA,0.0032,0.0022,NA,72.2,2.234,18.105,6.24,0.663
"18","BR1-06",3.2098,15.06,0.3935,0.0607,1.0606,0.6563,0.4689,0.0091,NA,0.0731,7.1171,NA,0.0027,0.0103,0.0058,0.0059,0.0093,0.003,0.0425,0.0015,7e-04,NA,0.0051,NA,0.002,0.0023,NA,71.8,1.762230088,38.581,5.13,1.881
"19","BR1-15",3.188,13.55,0.3527,0.1026,0.9782,0.7212,0.3045,0.0137,NA,0.1435,7.8524,0.0043,0.0082,0.0198,0.0054,0.0054,0.0073,0.0029,0.0255,0.001,9e-04,NA,0.0044,NA,0.0018,0.0025,NA,72.7,1.579342478,35.697,6.36,2.046
"20","BR1-18",3.3235,13.85,0.3804,0.1183,1.0424,0.5325,0.4224,0.0134,NA,0.051,7.9612,NA,0.0035,0.0084,0.0039,0.0058,0.0081,0.0026,0.0323,0.0018,0.001,NA,0.0051,NA,0.002,0.0036,NA,72.23,1.614651327,44.312,5.13,1.992
"21","BR2-06",2.9391,14.17,0.3892,0.1063,0.7517,1.2026,0.4409,0.0122,NA,0.0606,7.2126,NA,0.003,0.0089,0.0025,0.004,0.0137,0.0023,0.0301,0.0013,0.001,NA,0.004,NA,0.002,0.0022,NA,72.64,1.761302655,43.919,4.59,1.503
"22","BR2-09",3.16,15.97,0.4016,0.0608,0.9652,0.6746,0.4341,0.0104,NA,0.0655,6.422,NA,0.0016,0.0093,0.0022,0.0053,0.0085,0.0023,0.0372,0.0014,8e-04,NA,0.0044,NA,0.0011,0.002,NA,71.76,1.73799646,40.12,5.32,1.41
"23","BR2-12",3.1232,14.96,0.3829,0.099,1.3882,0.3534,0.4352,0.0182,NA,0.047,6.0283,NA,NA,0.0056,0.002,0.0081,0.0083,0.0026,0.0442,0.0017,9e-04,NA,0.0054,NA,0.0017,0.0023,NA,73.08,1.53829292,37.532,4.28,1.509
"24","BR2-13",3.2364,15.89,0.398,0.0548,1.3832,0.4585,0.468,0.0108,NA,0.0436,5.1788,NA,NA,0.0069,0.002,0.0074,0.0118,0.0024,0.039,0.002,0.001,NA,0.0043,NA,0.0013,0.003,NA,72.8,1.582540708,42.658,4.23,1.463
"25","BR2-15",3.1271,16.4,0.3774,0.0601,1.1336,0.4873,0.4673,NA,NA,0.0455,5.7476,NA,0.0013,0.0071,0.0029,0.0062,0.0084,0.0025,0.0411,0.0017,9e-04,NA,0.0046,NA,0.0015,0.003,6e-04,72.07,1.565253982,40.943,4.78,1.435
"26","BR3-01",3.121,15.78,0.3631,0.0466,1.2236,0.5317,0.4189,0.0169,NA,0.0548,5.5378,NA,0.0017,0.0059,0.0027,0.0068,0.0121,0.0026,0.0404,0.002,0.001,NA,0.0046,NA,0.0013,0.003,NA,72.82,1.496317699,33.732,4.43,1.37
"27","BR3-03",3.0972,14.15,0.3351,0.0894,1.2305,0.5018,0.4307,0.0166,NA,0.062,6.1169,NA,NA,0.0075,0.0026,0.0072,0.0108,0.0028,0.0423,0.002,0.0012,NA,0.0047,NA,0.0016,0.0025,NA,73.88,1.633723894,48.72,4.3,2.051
"28","BR3-05",3.4976,14.77,0.369,0.068,1.3942,0.5882,0.5027,0.0203,NA,0.0589,5.9524,NA,NA,0.0071,0.0034,0.0081,0.013,0.0027,0.0365,0.0018,8e-04,NA,0.0055,NA,0.0019,0.003,NA,72.69,1.355376991,34.232,3.94,2.02
"29","BR3-14",3.3906,15.43,0.3855,0.0764,1.2817,0.5489,0.4633,0.0228,NA,0.0559,5.6112,0.0015,0.0015,0.0066,0.0028,0.0072,0.0109,0.0026,0.0433,0.0018,8e-04,NA,0.0047,NA,0.0014,0.002,NA,72.64,1.619020354,36.231,4.12,1.513
"30","BR3-15",2.9449,12.08,0.363,0.2294,1.1266,0.6132,0.3968,0.0141,NA,0.0238,9.1485,NA,0.0027,0.0055,0.0029,0.0069,0.0135,0.0028,0.0311,0.0017,8e-04,NA,0.0054,NA,0.0023,0.0023,7e-04,72.98,1.740980531,32.657,3.36,1.95
